[13/Mar/2025:10:14:41 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:14:51 +0000] - 200 200 - GET https mpm.localhost "/api/tokens" [Client 127.0.0.1] [Length 593] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:14:51 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:15:12 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:15:12 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:15:43 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:15:43 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:16:14 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:16:14 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:16:45 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:16:45 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:17:17 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:17:18 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:17:47 +0000] - 200 200 - GET https mpm.localhost "/api/nginx/access-lists?expand=items,clients" [Client 127.0.0.1] [Length 2] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:17:47 +0000] - 200 200 - GET https mpm.localhost "/api/nginx/certificates" [Client 127.0.0.1] [Length 2248] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:17:48 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:17:48 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
